182,33,57,56,0,1024
34,32,58,57,0,1024
35,34,58,56,0,1024
34,33,64,57,0,1024
34,34,59,57,0,1024
34,33,58,58,0,1024
40,33,57,58,0,1024
34,33,58,57,0,1024
34,33,58,58,0,1024
139,33,58,58,0,1024
118,33,57,58,0,1024
162,34,58,56,0,1024
59,33,57,54,0,1024
33,35,57,56,0,1024
33,34,58,56,0,1024
34,33,58,56,0,1024
34,33,58,58,0,1024
33,34,57,57,0,1024
34,33,57,60,0,1024
35,33,57,57,0,1024
57,33,116,114,0,1024
33,34,58,77,0,1024
34,33,59,68,0,1024
50,34,58,63,0,1024
35,33,59,58,0,1024
33,35,58,59,0,1024
33,35,58,57,0,1024
33,33,57,59,0,1024
248,34,58,58,0,1024
105,33,114,117,0,1024
34,33,58,82,0,1024
274,33,59,69,0,1024
169,33,58,64,0,1024
33,33,59,61,0,1024
242,34,87,64,0,1024
33,33,59,60,0,1024
35,33,57,57,0,1024
34,33,59,58,0,1024
34,34,58,57,0,1024
35,33,58,57,0,1024
43,34,57,56,0,1024
50,33,58,57,0,1024
34,33,58,57,0,1024
34,33,59,57,0,1024
35,33,57,60,0,1024
68,33,59,57,0,1024
35,34,58,58,0,1024
34,35,58,56,0,1024
47,33,57,56,0,1024
42,34,59,57,0,1024
35,34,58,57,0,1024
188,34,59,58,0,1024
34,33,59,59,0,1024
267,33,59,56,0,1024
48,33,57,57,0,1024
34,33,57,56,0,1024
34,33,81,75,0,1024
34,33,58,62,0,1024
35,32,58,61,0,1024
51,33,58,58,0,1024
33,33,57,60,0,1024
34,33,58,57,0,1024
33,35,58,59,0,1024
34,35,58,57,0,1024
34,33,58,59,0,1024
34,33,57,57,0,1024
414,33,58,57,0,1024
89,32,57,57,0,1024
35,32,59,56,0,1024
35,33,58,56,0,1024
33,35,57,56,0,1024
34,33,58,59,0,1024
34,33,58,56,0,1024
33,34,59,59,0,1024
33,33,58,56,0,1024
194,33,58,58,0,1024
34,34,59,57,0,1024
193,32,57,58,0,1024
34,33,57,57,0,1024
37,33,59,57,0,1024
413,34,57,56,0,1024
35,34,57,57,0,1024
163,32,58,57,0,1024
284,33,60,56,0,1024
33,32,73,74,0,1024
36,34,57,63,0,1024
274,33,59,60,0,1024
34,32,57,61,0,1024
38,33,58,57,0,1024
35,33,57,59,0,1024
34,35,59,57,0,1024
33,33,57,59,0,1024
34,33,58,57,0,1024
121,33,58,58,0,1024
81,33,63,59,0,1024
34,33,58,56,0,1024
34,33,57,57,0,1024
35,33,58,56,0,1024
34,33,57,58,0,1024
39,33,58,57,0,1024
33,35,58,58,0,1024
230,33,57,58,0,1024
34,33,58,56,0,1024
34,34,57,59,0,1024
300,33,200,119,0,1024
33,33,58,77,0,1024
33,33,59,68,0,1024
33,33,58,60,0,1024
34,33,57,59,0,1024
39,33,57,59,0,1024
34,33,58,57,0,1024
34,33,57,60,0,1024
130,33,58,58,0,1024
34,33,106,76,0,1024
34,33,58,66,0,1024
34,32,59,60,0,1024
34,34,58,58,0,1024
35,34,59,58,0,1024
33,33,58,57,0,1024
145,34,58,57,0,1024
33,34,59,57,0,1024
155,33,59,58,0,1024
34,34,57,57,0,1024
34,33,59,57,0,1024
34,34,58,56,0,1024
34,34,58,57,0,1024
33,33,58,59,0,1024
34,34,59,57,0,1024
34,34,58,59,0,1024
382,33,57,56,0,1024
121,33,57,56,0,1024
32,35,59,59,0,1024
105,33,61,56,0,1024
264,34,58,56,0,1024
34,33,58,56,0,1024
34,34,58,56,0,1024
76,33,57,56,0,1024
35,33,57,58,0,1024
34,34,58,57,0,1024
35,33,58,58,0,1024
34,34,57,56,0,1024
37,33,58,58,0,1024
34,34,57,57,0,1024
45,33,58,59,0,1024
34,33,59,57,0,1024
37,33,58,59,0,1024
34,33,58,57,0,1024
42,32,57,60,0,1024
34,33,58,57,0,1024
61,33,57,59,0,1024
34,33,58,61,0,1024
34,33,58,60,0,1024
34,34,57,57,0,1024
34,33,57,60,0,1024
34,34,58,58,0,1024
35,33,58,59,0,1024
38,33,58,57,0,1024
34,33,59,59,0,1024
34,34,58,57,0,1024
113,33,58,58,0,1024
33,33,58,84,0,1024
168,33,58,64,0,1024
34,34,57,61,0,1024
35,34,58,59,0,1024
401,33,57,58,0,1024
34,33,58,59,0,1024
35,33,57,56,0,1024
116,33,57,58,0,1024
