33,33,53,50
34,32,53,50
34,32,53,49
33,32,53,51
33,32,52,51
34,33,53,50
34,32,53,50
33,32,53,50
34,32,53,50
34,32,53,49
34,32,53,52
33,32,53,52
34,32,53,52
33,33,53,50
33,32,53,50
33,33,53,50
34,32,53,49
33,32,53,49
35,32,53,51
34,32,53,51
34,32,53,52
34,33,53,49
34,39,53,49
34,32,53,50
34,32,53,50
33,32,53,50
34,32,53,51
34,32,53,50
33,32,53,52
33,33,53,50
34,32,53,50
34,32,53,50
34,33,53,50
34,32,53,49
35,32,53,51
33,32,53,51
33,32,53,52
34,33,53,49
34,33,53,49
34,33,53,50
34,32,53,49
34,32,53,50
33,32,53,52
34,32,53,51
34,32,53,51
34,33,53,50
33,31,53,50
34,32,53,50
33,32,53,50
33,32,53,50
34,32,53,52
34,32,53,50
33,32,53,52
34,33,53,49
34,32,53,49
34,32,54,50
33,32,53,50
34,32,53,50
34,32,53,51
34,32,52,51
34,32,53,52
33,33,53,50
34,33,53,50
34,32,53,50
34,32,53,50
34,32,53,50
35,32,52,52
34,32,52,51
34,32,53,51
34,33,54,49
34,32,53,49
33,32,53,49
33,32,53,50
33,32,53,49
34,32,53,51
34,32,54,50
34,31,53,52
34,33,53,50
34,33,53,50
33,33,53,50
34,32,53,50
34,32,53,50
33,32,53,51
33,42,53,52
34,32,53,52
34,32,53,50
34,33,53,50
34,32,53,50
34,31,53,50
33,33,54,50
33,32,53,52
33,32,53,51
33,32,53,51
33,33,53,50
34,32,53,50
34,33,53,50
34,32,53,50
34,32,53,49
35,32,53,51
33,33,53,50
33,32,53,52
34,32,53,50
33,32,53,50
34,33,54,50
34,32,53,50
34,32,53,49
33,32,53,52
34,32,53,52
33,32,53,51
33,33,53,50
33,32,53,50
34,33,53,50
205,129,53,49
34,33,53,51
34,33,53,51
40,33,53,53
33,33,53,53
33,33,53,51
33,34,53,50
33,32,53,50
33,32,53,53
34,32,53,52
34,32,53,52
34,32,53,52
34,32,53,50
34,32,53,50
33,32,53,49
33,32,53,50
33,32,53,52
33,32,53,52
33,32,53,52
34,33,53,50
34,32,53,50
34,33,53,50
34,32,53,50
34,32,53,49
33,32,53,52
33,32,53,52
