645,1005,613,609,0,1024
722,1017,720,679,0,1024
735,1021,165,346,0,1024
814,395,511,468,0,1024
746,517,376,370,0,1024
803,161,292,325,0,1024
826,98,116,232,0,1024
832,38,189,206,0,1024
789,92,241,242,0,1024
673,105,404,353,0,1024
661,512,511,453,0,1024
546,653,582,506,0,1024
606,751,624,581,0,1024
577,821,729,663,0,1024
669,867,804,737,0,1024
639,913,857,798,0,1024
626,943,890,845,0,1024
607,940,922,884,0,1024
650,552,875,871,0,1024
597,670,916,891,0,1024
593,765,939,912,0,1024
617,583,866,781,0,1024
605,702,694,732,0,1024
638,786,774,736,0,1024
684,584,238,385,0,1024
773,470,494,442,0,1024
580,637,610,553,0,1024
606,740,707,649,0,1024
613,806,752,703,0,1024
633,761,754,729,0,1024
596,835,698,713,0,1024
650,596,678,694,0,1024
689,653,766,740,0,1024
702,739,658,691,0,1024
696,811,745,726,0,1024
766,545,384,475,0,1024
834,173,497,504,0,1024
882,38,352,418,0,1024
901,448,350,332,0,1024
703,169,176,216,0,1024
780,36,33,122,0,1024
783,313,144,134,0,1024
588,492,525,381,0,1024
559,642,653,535,0,1024
565,738,676,611,0,1024
559,813,756,691,0,1024
583,865,815,761,0,1024
591,854,853,802,0,1024
606,900,895,848,0,1024
630,932,923,882,0,1024
661,662,948,904,0,1024
674,579,750,805,0,1024
686,551,528,631,0,1024
777,495,548,571,0,1024
618,645,642,624,0,1024
603,748,735,677,0,1024
650,290,454,552,0,1024
744,533,564,556,0,1024
638,665,618,602,0,1024
621,761,720,676,0,1024
610,643,650,661,0,1024
611,741,747,710,0,1024
598,611,754,731,0,1024
640,543,807,777,0,1024
624,535,668,709,0,1024
585,475,761,734,0,1024
701,397,464,506,0,1024
748,381,548,511,0,1024
736,197,286,368,0,1024
787,438,536,487,0,1024
772,501,660,591,0,1024
641,619,415,481,0,1024
738,479,381,433,0,1024
647,557,565,524,0,1024
717,680,407,456,0,1024
720,709,537,515,0,1024
735,743,665,602,0,1024
632,818,757,686,0,1024
629,869,443,515,0,1024
720,489,529,528,0,1024
657,573,520,530,0,1024
675,692,651,602,0,1024
625,770,741,681,0,1024
618,843,671,629,0,1024
660,893,596,616,0,1024
662,929,706,672,0,1024
582,639,365,497,0,1024
692,741,568,556,0,1024
586,641,555,563,0,1024
572,715,631,609,0,1024
602,641,347,433,0,1024
701,525,568,525,0,1024
633,659,677,615,0,1024
592,757,762,701,0,1024
644,815,427,458,0,1024
742,66,85,243,0,1024
750,546,463,410,0,1024
730,673,619,539,0,1024
591,513,532,528,0,1024
694,660,149,298,0,1024
662,529,517,453,0,1024
617,324,134,217,0,1024
724,28,380,245,0,1024
751,479,176,185,0,1024
617,321,512,394,0,1024
637,574,547,484,0,1024
588,695,562,530,0,1024
605,596,505,505,0,1024
671,565,617,577,0,1024
499,647,663,626,0,1024
609,742,757,696,0,1024
595,582,821,761,0,1024
596,703,867,818,0,1024
573,786,817,710,0,1024
594,850,574,629,0,1024
579,571,690,668,0,1024
568,693,766,709,0,1024
579,770,700,703,0,1024
559,839,608,640,0,1024
638,556,704,684,0,1024
687,676,789,742,0,1024
703,763,772,755,0,1024
648,346,827,797,0,1024
749,578,773,771,0,1024
572,694,836,802,0,1024
584,785,676,691,0,1024
682,629,682,693,0,1024
652,737,769,626,0,1024
749,806,517,562,0,1024
727,523,644,619,0,1024
676,523,363,469,0,1024
646,573,550,535,0,1024
598,439,677,618,0,1024
598,218,365,410,0,1024
713,215,256,284,0,1024
661,501,523,440,0,1024
577,644,650,565,0,1024
612,281,463,484,0,1024
694,491,543,483,0,1024
568,645,610,567,0,1024
671,395,451,456,0,1024
698,524,488,488,0,1024
614,633,608,568,0,1024
638,737,710,653,0,1024
606,652,707,682,0,1024
609,748,787,738,0,1024
610,821,701,714,0,1024
601,867,783,752,0,1024
664,905,843,800,0,1024
731,937,420,508,0,1024
807,966,546,546,0,1024
774,979,663,621,0,1024
690,986,756,697,0,1024
582,1001,806,759,0,1024
651,1008,840,800,0,1024
752,1013,537,615,0,1024
763,647,448,511,0,1024
835,710,595,568,0,1024
724,795,698,649,0,1024
632,851,479,512,0,1024
693,900,594,520,0,1024
708,926,571,551,0,1024
740,591,678,632,0,1024
701,698,609,615,0,1024
634,695,662,613,0,1024
684,534,518,534,0,1024
729,503,556,447,0,1024
692,531,442,348,0,1024
617,566,431,412,0,1024
603,583,489,461,0,1024
622,693,630,565,0,1024
609,514,464,439,0,1024
722,200,508,493,0,1024
692,550,641,581,0,1024
657,671,736,673,0,1024
670,765,528,565,0,1024
655,836,638,616,0,1024
585,738,681,543,0,1024
618,383,541,543,0,1024
698,516,657,616,0,1024
602,657,745,694,0,1024
639,747,816,761,0,1024
580,822,867,813,0,1024
625,866,908,856,0,1024
692,917,926,896,0,1024
761,882,951,917,0,1024
697,834,972,936,0,1024
629,886,981,942,0,1024
597,890,374,495,0,1024
693,926,338,429,0,1024
661,722,567,520,0,1024
585,691,469,478,0,1024
691,121,439,461,0,1024
766,122,389,392,0,1024
774,340,439,443,0,1024
652,256,516,491,0,1024
720,514,496,454,0,1024
618,653,515,503,0,1024
641,746,651,588,0,1024
567,506,502,527,0,1024
632,574,310,397,0,1024
633,694,567,507,0,1024
620,783,674,613,0,1024
610,847,750,637,0,1024
664,897,443,528,0,1024
679,270,459,494,0,1024
771,102,551,536,0,1024
840,143,474,471,0,1024
859,127,586,540,0,1024
743,537,666,617,0,1024
574,669,754,700,0,1024
674,763,818,762,0,1024
619,831,872,820,0,1024
669,880,907,862,0,1024
646,917,926,897,0,1024
647,947,950,924,0,1024
605,966,873,884,0,1024
653,982,910,891,0,1024
659,987,934,912,0,1024
616,583,664,720,0,1024
669,560,560,619,0,1024
593,684,667,656,0,1024
571,669,462,547,0,1024
582,246,563,562,0,1024
697,367,188,326,0,1024
619,482,515,457,0,1024
563,638,419,413,0,1024
655,301,523,455,0,1024
599,542,629,559,0,1024
578,675,722,657,0,1024
556,763,793,733,0,1024
615,616,632,662,0,1024
600,519,655,658,0,1024
626,617,642,633,0,1024
620,73,454,497,0,1024
665,436,438,454,0,1024
554,623,570,533,0,1024
477,476,660,609,0,1024
632,210,221,348,0,1024
733,41,249,288,0,1024
653,482,539,452,0,1024
575,640,661,575,0,1024
552,741,746,677,0,1024
594,811,818,757,0,1024
657,872,868,815,0,1024
756,904,908,858,0,1024
666,941,859,854,0,1024
649,960,813,818,0,1024
639,842,868,835,0,1024
658,893,890,825,0,1024
601,922,564,667,0,1024
611,951,562,610,0,1024
661,962,515,558,0,1024
609,359,314,364,0,1024
717,68,379,310,0,1024
784,378,325,358,0,1024
